"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Direction","GeneRatio_num","Description_wrap"
"GO:0016106","sesquiterpenoid biosynthetic process","8/158","30/11181",0.266666666666667,18.8708860759494,11.7340881722527,5.98473813873274e-09,1.08939362969252e-06,9.51916646262958e-07,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"sesquiterpenoid biosynthetic
process"
"GO:0006721","terpenoid metabolic process","12/158","93/11181",0.129032258064516,9.13107390771744,9.42675708009281,6.47485069653802e-09,1.08939362969252e-06,9.51916646262958e-07,"mikado.Chr02G518/mikado.Chr06G531/mikado.Chr10G274/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62/mikado.Chr12G439/mikado.Chr04G295",12,"Down",0.0759493670886076,"terpenoid metabolic process"
"GO:0006716","juvenile hormone metabolic process","8/158","31/11181",0.258064516129032,18.2621478154349,11.5222630524431,7.97028286107121e-09,1.23784623819252e-06,1.08163514778586e-06,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"juvenile hormone metabolic process"
"GO:0006714","sesquiterpenoid metabolic process","8/158","33/11181",0.242424242424242,17.1553509781358,11.1269062537474,1.36954745233763e-08,1.81308640069399e-06,1.58428237405861e-06,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"sesquiterpenoid metabolic process"
"GO:0016063","rhodopsin biosynthetic process","8/158","33/11181",0.242424242424242,17.1553509781358,11.1269062537474,1.36954745233763e-08,1.81308640069399e-06,1.58428237405861e-06,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"rhodopsin biosynthetic process"
"GO:0006720","isoprenoid metabolic process","13/158","121/11181",0.107438016528926,7.60293963803745,8.74282912429732,1.43681933685507e-08,1.81308640069399e-06,1.58428237405861e-06,"mikado.Chr02G518/mikado.Chr06G531/mikado.Chr10G274/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62/mikado.Chr12G439/mikado.Chr04G295/mikado.Chr04G386",13,"Down",0.0822784810126582,"isoprenoid metabolic process"
"GO:0046154","rhodopsin metabolic process","8/158","34/11181",0.235294117647059,16.65078183172,10.9419830332905,1.76961428405958e-08,2.10167719971546e-06,1.83645420438629e-06,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"rhodopsin metabolic process"
"GO:0016054","organic acid catabolic process","15/158","186/11181",0.0806451612903226,5.7069211923234,7.74988617276697,5.41675502672223e-08,5.75601494681694e-06,5.02962959821965e-06,"mikado.Chr02G2/mikado.Chr01G39/mikado.Chr07G112/mikado.Chr09G159/mikado.Chr11G226/mikado.Chr11G428/mikado.Chr12G87/mikado.Chr16G406/mikado.Chr17G358/mikado.Chr18G151/mikado.Chr18G152/mikado.Chr04G386/mikado.Chr21G162/mikado.Chr21G285/mikado.Chr21G587",15,"Down",0.0949367088607595,"organic acid catabolic process"
"GO:0046395","carboxylic acid catabolic process","15/158","186/11181",0.0806451612903226,5.7069211923234,7.74988617276697,5.41675502672223e-08,5.75601494681694e-06,5.02962959821965e-06,"mikado.Chr02G2/mikado.Chr01G39/mikado.Chr07G112/mikado.Chr09G159/mikado.Chr11G226/mikado.Chr11G428/mikado.Chr12G87/mikado.Chr16G406/mikado.Chr17G358/mikado.Chr18G151/mikado.Chr18G152/mikado.Chr04G386/mikado.Chr21G162/mikado.Chr21G285/mikado.Chr21G587",15,"Down",0.0949367088607595,"carboxylic acid catabolic process"
"GO:0006726","eye pigment biosynthetic process","9/158","55/11181",0.163636363636364,11.5798619102417,9.41654004766172,6.52469272411427e-08,6.58667730499335e-06,5.75546579242922e-06,"mikado.Chr06G531/mikado.Chr08G154/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",9,"Down",0.0569620253164557,"eye pigment biosynthetic process"
