ID	CFWKZHG1	CFWKZHG2	CFWKZHG3	CFWKNHG1	CFWKNHG2	CFWKNHG3	CFWKAHG1	CFWKAHG2	CFWKAHG3
mikado.Chr20G267	33.01224732	37.14717206	40.02082297	40.59651128	38.91900536	40.81193392	40.96236538	41.23999078	40.22052591
mikado.Chr20G268	12.17090803	12.36826936	10.95892988	17.23214366	14.44589537	40.43215492	12.83851715	13.1258879	10.42307603
mikado.Chr20G269	0	0	0	0	0	0	0	0	0
mikado.Chr20G27	4.937976983	5.498425241	5.195599293	5.851160608	5.664643885	5.190296942	5.023789588	5.384344341	5.593740084
mikado.Chr20G270	17.73510223	18.72742409	21.13712184	16.74232995	19.10784507	11.83612162	19.46449975	16.5338195	18.40684304
mikado.Chr20G272	0	0	0	0	0	0.347930467	0	0	0
mikado.Chr20G274	0.595360327	0.479649736	0.87910844	0.356335865	0	0.800820527	0.376421121	0.602062647	0.467134704
mikado.Chr20G275	5.735347591	6.850186988	6.392790441	6.156164334	7.030988724	7.801033697	7.21790013	7.680778527	6.772767178
mikado.Chr20G276	59.46948259	69.28611129	71.63103381	79.50564538	70.74524178	75.45408455	78.37009979	75.02676385	85.21816049
mikado.Chr20G277	44.51227487	45.47200695	46.91482793	51.83746067	41.39671662	55.23405882	57.79585487	55.02970719	53.82888505
mikado.Chr20G278	49.17427074	52.8825629	53.32826059	63.94808465	58.22858803	43.89668691	58.70276936	57.83337005	60.16465473
mikado.Chr20G28	2.33752338	2.872993515	2.287989324	1.555358682	2.417297991	3.499136673	2.218238188	2.946417483	2.007534872
mikado.Chr20G280	53.12463226	57.8072792	60.42984757	64.22853467	62.09140591	56.55476874	60.98178556	53.26895131	57.75659747
mikado.Chr20G281	115.476748	115.030822	124.0020317	141.7023203	131.8978702	68.27285615	119.2383344	112.3799204	138.6702722
mikado.Chr20G284	6.518404392	6.134968864	6.130901862	4.766096157	5.736588045	9.288998746	5.86822943	5.924705247	4.575691224
mikado.Chr20G285	24.15920171	27.31845413	28.99185981	32.66297013	27.28960915	24.08164582	29.17809879	28.23145494	28.72572567
mikado.Chr20G286	2.513048496	3.377206218	2.30077742	2.559903112	2.578642831	2.951541494	2.775217444	2.469533226	2.519770554
mikado.Chr20G287	0	0	0	0	0	0	0	0	0
