ID	Change	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	CI_lower	CI_upper
mikado.Chr05G421	stable	736.636011268481	-0.0122828817091903	0.118162824346196	-0.103948782344637	0.917209994050371	0.981201388984118	-0.243882017427734	0.219316254009354
mikado.Chr05G422	stable	107.799787860091	-0.257842784216165	0.334997218917918	-0.769686342618095	0.441485973420775	0.801023829023467	-0.914437333295284	0.398751764862954
mikado.Chr05G423	stable	99.8473779587338	-0.126349803594544	0.230629645558456	-0.547847191494376	0.58379683184756	0.875830090126641	-0.578383908889118	0.32568430170003
mikado.Chr05G425	stable	186.464981666488	-0.185079850942771	0.398985567716657	-0.463876054469736	0.642736549622798	0.900603998990501	-0.967091563667419	0.596931861781877
mikado.Chr05G414	stable	2995.9214739809	0.0919222930176766	0.0982012282078311	0.93606052281886	0.349242027165789	0.737731155855535	-0.100552114269672	0.284396700305026
mikado.Chr05G415	stable	3484.18648387008	-0.194075852175895	0.129866493587372	-1.49442590474905	0.135064334974125	0.531141636748639	-0.448614179607144	0.0604624752553542
mikado.Chr05G416	stable	1069.79643338542	0.159652357329313	0.185328064645975	0.86145807238796	0.388985803789463	0.766351982607229	-0.203590649376798	0.522895364035424
mikado.Chr05G417	stable	1409.25160706433	-0.00844882902134581	0.137838593235489	-0.0612950903156092	0.951124200812599	0.989818477686301	-0.278612471762904	0.261714813720213
mikado.Chr05G418	stable	5768.87549078158	-0.0223888495226308	0.0666959131571869	-0.335685478506988	0.737108057510957	0.932881538213457	-0.153112839310717	0.108335140265456
mikado.Chr05G430	stable	108.477085677413	-0.478392788948701	0.345448178878767	-1.38484675328565	0.166099331440536	0.57700751069873	-1.15547121955108	0.198685641653682
mikado.Chr05G431	stable	571.614861816759	-0.107971866431203	0.208946218646884	-0.516744773513582	0.605334336537905	0.883730091753333	-0.517506454979096	0.30156272211669
mikado.Chr05G428	stable	103.127497784943	0.00928043792999969	0.268858003215289	0.0345179902365351	0.972464096762008	0.994159629418514	-0.517681248371967	0.536242124231966
mikado.Chr05G426	stable	271.261324573956	-0.650227186069144	0.222030901812737	-2.9285436430716	0.0034055401941971	0.0952385965502502	-1.08540775362211	-0.21504661851618
mikado.Chr05G427	stable	9810.15880164403	-0.119521347213857	0.149382595390211	-0.800102226779822	0.423651571119564	0.790052929925674	-0.412311234178671	0.173268539750957
mikado.Chr05G429	stable	63.7079044587902	-0.069739158083018	0.300676110584564	-0.231941134090878	0.816583735162903	0.956374116626301	-0.659064334828763	0.519586018662727
mikado.Chr05G447	stable	46.3037679047487	0.321277204945943	0.380002792743105	0.84546011524483	0.397853992522779	0.771577787274206	-0.423528268830543	1.06608267872243
mikado.Chr05G445	stable	224.934967101219	0.101743569236505	0.248177710713713	0.40996255845825	0.681833413497309	0.91317441460347	-0.384684743762372	0.588171882235382
mikado.Chr05G446	stable	191.675332114301	-0.260015802101978	0.238369049297517	-1.09081192742201	0.275355647044903	0.684992890466542	-0.727219138725111	0.207187534521155
mikado.Chr05G442	stable	194.434514194736	-0.705928802582372	0.345920429702278	-2.04072596460967	0.0412780730511337	0.324531057091672	-1.38393284479884	-0.0279247603659072
mikado.Chr05G433	stable	26763.7864355823	0.0135594734727937	0.179708557561173	0.0754525753075392	0.939854629342134	0.985958740210516	-0.338669299347105	0.365788246292693
mikado.Chr05G434	stable	107.529948498207	-0.283288831730612	0.286085790954398	-0.990223354978743	0.322064959488507	0.722171968516017	-0.844016982001232	0.277439318540008
mikado.Chr05G435	stable	327.205571750907	-0.0154631753243322	0.147783283990866	-0.104634129833574	0.916666131654089	0.981201388984118	-0.30511841194643	0.274192061297765
mikado.Chr05G438	stable	143.690765695587	-0.0119262428755257	0.216828327011992	-0.0550031586733871	0.95613594734685	0.991100809350875	-0.43690976381903	0.413057278067979
