ID,baseMean,log2FoldChange,lfcSE,CI_lower,CI_upper,stat,pvalue,padj,Change
mikado.Chr02G80,1925.23160865259,-0.134386636937553,0.335228301866135,-0.791434108595177,0.522660834720071,-0.400880940509662,0.68850778299897,0.960017583336759,not significant
mikado.Chr02G82,6557.83265831144,-0.182084114095354,0.147518291925259,-0.471219966268862,0.107051738078153,-1.2343154989051,0.21708536277559,0.768925712045371,not significant
mikado.Chr02G87,212.2688078425,0.70649609919038,0.310771023522624,0.0973848930860367,1.31560730529472,2.27336542249714,0.0230041680430242,0.317474601296737,not significant
mikado.Chr02G83,1561.50759467394,-0.00990686858471823,0.145257689845266,-0.294611940681439,0.274798203512003,-0.068202024934249,0.945624815062512,0.994510576925319,not significant
mikado.Chr02G84,1432.72659434415,0.131311380617091,0.134353055345511,-0.132020607860111,0.394643369094292,0.977360583869135,0.328390669509376,0.844632632566622,not significant
mikado.Chr02G85,3811.44588155501,0.0770656647356116,0.10680279013528,-0.132267803929536,0.286399133400759,0.721569770209168,0.470559030466642,0.911456369311971,not significant
mikado.Chr02G86,1135.01452182412,-0.0779711675642061,0.125911676137761,-0.324758052794217,0.168815717665805,-0.619252875951689,0.535749783340749,0.927257592898975,not significant
mikado.Chr02G89,275.742035628199,-0.546376401554696,0.220996174528961,-0.979528903631459,-0.113223899477933,-2.472334205419,0.0134233961251474,0.238350780559743,not significant
mikado.Chr02G88,1777.44615054996,0.23470437416563,0.125470245061644,-0.0112173061551919,0.480626054486453,1.8705978780094,0.0614008389588651,0.483897204390496,not significant
mikado.Chr02G109,54.2093637787936,0.418525911921561,0.643092841884139,-0.841936058171351,1.67898788201447,0.650801695592444,0.515174505535932,0.924032638126295,not significant
mikado.Chr02G98,50.8370796547122,-0.896327678784508,0.45942985052775,-1.7968101858189,0.00415482824988267,-1.95095655572856,0.0510622140113154,0.45082719591463,not significant
mikado.Chr02G108,727.426670301694,-0.158164416080049,0.173044033473563,-0.497330721688232,0.181001889528133,-0.914012537185881,0.360710258002158,0.864998802488027,not significant
mikado.Chr02G110,1055.08634830471,0.393573667093186,0.424551571635959,-0.438547413313295,1.22569474749967,0.927033824363424,0.353908972768472,0.860351524043795,not significant
mikado.Chr02G112,656.195611943629,0.227196718463151,0.352373555822644,-0.463455450949231,0.917848887875533,0.644760977970502,0.519082093330412,0.92508682128991,not significant
mikado.Chr02G113,459.579541540801,0.00366639697688,0.209289523923847,-0.40654106991386,0.41387386386762,0.0175183014808428,0.986023132616139,0.997563414244472,not significant
mikado.Chr02G114,99.5738176850974,0.652931552664125,0.413015761582231,-0.156579340037047,1.4624424453653,1.58088773697836,0.113903708721743,0.61180025021601,not significant
mikado.Chr02G115,1142.63461129057,-0.390725231216507,0.250862834436299,-0.882416386711653,0.100965924278639,-1.55752537873729,0.119345799916921,0.622753867512205,not significant
mikado.Chr02G117,53.4022453199569,-0.297764189892776,0.478555174136262,-1.23573233119985,0.640203951414297,-0.622214962841447,0.533800528486475,0.926355007030192,not significant
mikado.Chr02G118,37.9735683024029,-0.0934425508707956,0.409237816776876,-0.895548671753473,0.708663570011882,-0.228333128171637,0.819387272142211,0.980039193045509,not significant
mikado.Chr02G119,673.698993855008,0.127394738347189,0.184311552694756,-0.233855904934532,0.48864538162891,0.691192366862491,0.489444660122266,0.916507705654259,not significant
mikado.Chr02G123,578.427420835424,0.368677321423762,0.375177142352035,-0.366669877586226,1.10402452043375,0.98267532801299,0.325767257206811,0.844115654681509,not significant
mikado.Chr02G126,23.599030797605,-0.303275848331103,0.618876179239406,-1.51627315964034,0.909721462978133,-0.490042852681495,0.624103575535509,0.948273466520842,not significant
mikado.Chr02G90,47.1721054666324,0.505319878023236,0.463980033533857,-0.404080987703123,1.4147207437496,1.08909832643987,0.276110527843278,0.811251837381425,not significant
mikado.Chr02G91,9187.24036377376,-0.21310415012232,0.156259850572457,-0.519373457244335,0.0931651569996954,-1.36378058305838,0.172636633153075,0.712647958914315,not significant
mikado.Chr02G92,571.657052122811,-0.470350804745518,0.22360433560887,-0.908615302538903,-0.0320863069521336,-2.1034959070215,0.0354224427004099,0.388392868898299,not significant
mikado.Chr02G93,5552.84402104028,-0.259661710643636,0.166481067059215,-0.585964602079697,0.0666411807924249,-1.55970715007057,0.118829101709987,0.621803525653713,not significant
mikado.Chr02G94,3639.12824870096,-0.246495485298119,0.15913257151874,-0.558395325474849,0.0654043548786105,-1.54899454552641,0.121383031283081,0.626060213615928,not significant
